Time,Click No
8.53258,1
25.93785,2
35.68058,3
53.04502,4
60.89589,5
68.50627,6
72.81594,7
79.20339,8
91.79919,9
102.1886,10
107.1113,11
111.1338,12
117.2384,13
133.7891,14
136.2245,15
138.7268,16
147.5605,17
161.7567,18
165.6916,19
167.7422,20

