Time,Drone 1,Drone 2,Planned
2.02,1,4,1
2.02,4,1,1
13.74,3,0,1
13.74,0,3,1
21.98,4,5,1
21.98,5,4,1
35.28,8,6,1
35.28,6,8,1
43.48,0,5,1
43.48,5,0,1
55.8,5,9,0.6024612
55.8,9,5,0.6024612
55.98,5,9,0.3800563
55.98,9,5,0.3800563
68.42,11,15,1
68.42,15,11,1
75.43999,11,19,1
75.43999,19,11,1
82.78,3,18,0.6021093
82.78,18,3,0.6021093
82.98,3,18,0.5221242
82.98,18,3,0.5221242
83.18,3,18,0.5190619
83.18,18,3,0.5190619
91.62,9,15,1
91.62,15,9,1
98.32,7,15,1
98.32,15,7,1
101.5,2,1,1
101.5,1,2,1
113.46,17,1,1
113.46,1,17,1
129.46,16,1,1
129.46,1,16,1
148.4,4,19,1
148.4,19,4,1
152.88,6,9,0.8078004
152.88,9,6,0.8078004
153.06,6,9,0.7276695
153.06,9,6,0.7276695
153.28,6,9,0.7781771
153.28,9,6,0.7781771
158.4,0,11,1
158.4,11,0,1
168.6,0,16,1
168.6,16,0,1
169.46,4,19,0.834815
169.46,19,4,0.834815
169.66,4,19,0.8197324
169.66,19,4,0.8197324
169.86,4,19,0.8210385
169.86,19,4,0.8210385

