Time,Click No
10.25222,1
28.98442,2
36.01535,3
51.2969,4
75.16359,5
86.29337,6
95.29382,7
102.652,8
107.1608,9
122.2327,10
124.9378,11
132.2971,12
149.1983,13
153.7416,14
161.2314,15
164.1226,16
177.0488,17

