Time,Click No
5.839661,1
11.91567,2
19.20307,3
28.14142,4
32.09153,5
50.68855,6
56.30305,7
63.7513,8
69.31736,9
76.79499,10
92.70096,11
98.72007,12
102.6144,13
108.359,14
116.9303,15
124.8588,16
130.9423,17
144.2612,18
154.5374,19
165.0788,20
186.2131,21

