Time,Pos X,Pos Y,Pos Z,Rot X,Rot Y,Rot Z,Rot W
0,10.64,7.63,-19.63,0,0,0,1
0.02,10.64,7.63,-19.63,0,0,0,1
0.3533334,10.79939,7.65875,-19.29858,-0.05096899,0.1207074,0.01330927,-0.9912895
0.3760117,10.79932,7.658717,-19.29858,-0.05093231,0.1203204,0.0131845,-0.99134
0.3835497,10.7993,7.658706,-19.29858,-0.05095239,0.1202565,0.01314122,-0.9913474
0.3975824,10.79923,7.658666,-19.29852,-0.05090548,0.1199234,0.01292361,-0.991393
0.4086264,10.79919,7.658642,-19.29849,-0.05102776,0.1197413,0.01274054,-0.991411
0.4202718,10.79913,7.658612,-19.29846,-0.05115666,0.1194673,0.01265331,-0.9914386
0.4305824,10.7991,7.658596,-19.29843,-0.0512961,0.1193189,0.01250907,-0.9914511
0.4425105,10.79907,7.658563,-19.29841,-0.05132918,0.1192232,0.01243048,-0.9914619
0.4532641,10.79901,7.658521,-19.29835,-0.05139478,0.1189122,0.01230419,-0.9914974
0.4638177,10.79899,7.658499,-19.29833,-0.05142852,0.118876,0.01225426,-0.9915006
0.4760622,10.79894,7.658443,-19.29828,-0.05136673,0.1187724,0.01216631,-0.9915173
0.4862109,10.79889,7.658417,-19.29824,-0.05141465,0.1186358,0.01216833,-0.9915312
0.4972675,10.79886,7.658377,-19.29819,-0.051365,0.1185537,0.01207692,-0.9915447
0.5082303,10.79882,7.658339,-19.29814,-0.05139911,0.118445,0.01196919,-0.9915572
0.5184959,10.79877,7.658289,-19.29805,-0.05143691,0.1181346,0.0117741,-0.9915946
0.5301691,10.79873,7.65825,-19.298,-0.05148134,0.1178913,0.01170882,-0.991622
0.5400143,10.7987,7.658218,-19.29794,-0.05158444,0.1176028,0.01154003,-0.9916529
0.5524805,10.79869,7.65819,-19.29788,-0.05159372,0.1174427,0.01143025,-0.9916727
0.5630913,10.79864,7.658151,-19.29779,-0.05149334,0.117034,0.01138572,-0.9917267
0.5743271,10.79863,7.658133,-19.29771,-0.05159515,0.1166718,0.01109247,-0.9917674
0.5856565,10.79859,7.658134,-19.29766,-0.05173272,0.1162839,0.01104571,-0.9918063
0.5963737,10.79861,7.6581,-19.29759,-0.05159757,0.1160586,0.01063556,-0.9918442
0.6078758,10.79858,7.658085,-19.29755,-0.05171372,0.1156651,0.01059619,-0.9918846
0.6189992,10.79857,7.658057,-19.2975,-0.05177557,0.1152008,0.01025725,-0.9919389
0.6303915,10.79856,7.658084,-19.29747,-0.05200074,0.1148828,0.01006981,-0.9919659
0.6413445,10.79855,7.658086,-19.29743,-0.0520184,0.1145179,0.009913399,-0.9920088
0.6521968,10.7985,7.658069,-19.29736,-0.05193311,0.1138405,0.009719688,-0.9920931
0.663492,10.79855,7.658068,-19.29735,-0.05186489,0.1139647,0.009672583,-0.992083
0.674539,10.79848,7.658078,-19.29727,-0.05169673,0.1130954,0.009417908,-0.9921936
0.6854138,10.79851,7.658082,-19.29727,-0.05174072,0.113076,0.009308515,-0.9921946
0.6968843,10.7985,7.658078,-19.29723,-0.05153193,0.1127164,0.009130896,-0.992248
0.7076817,10.79848,7.658099,-19.2972,-0.05133029,0.1122695,0.009025124,-0.9923101
0.7190505,10.79855,7.65808,-19.29718,-0.05105522,0.112224,0.008647476,-0.9923328
0.729776,10.79849,7.658085,-19.29715,-0.05106305,0.1113694,0.008592276,-0.9924291
0.741617,10.79854,7.658082,-19.29713,-0.05127325,0.1111445,0.008418145,-0.992445
0.7522128,10.79854,7.658069,-19.29709,-0.05133623,0.1105407,0.007968653,-0.9925129
0.7631242,10.79853,7.658098,-19.29706,-0.05155282,0.1099828,0.007804601,-0.992565
0.7764497,10.79854,7.658109,-19.29702,-0.05146039,0.1094354,0.007756868,-0.9926307
0.7868983,10.79854,7.65808,-19.29696,-0.05117888,0.1088649,0.007342727,-0.9927111
0.7979525,10.79858,7.65809,-19.29695,-0.05125067,0.1087268,0.007498611,-0.9927213
0.8094338,10.79857,7.658102,-19.2969,-0.051223,0.1081149,0.007148328,-0.9927922
0.8203824,10.79865,7.658072,-19.29687,-0.05103099,0.1081022,0.007096118,-0.9928038
0.8309354,10.79869,7.658064,-19.29683,-0.05102954,0.1077274,0.006913107,-0.9928459
0.8421198,10.79868,7.65805,-19.29675,-0.05114027,0.1067536,0.006532849,-0.9929481
0.8531665,10.79871,7.65801,-19.29671,-0.05115285,0.106223,0.006595777,-0.9930038
0.8653054,10.79879,7.658037,-19.29667,-0.05170734,0.1057785,0.006577951,-0.9930227
0.8762164,10.79882,7.657917,-19.29655,-0.05144234,0.1046928,0.006305481,-0.9931533
0.8875201,10.79895,7.657911,-19.29652,-0.05191284,0.1044096,0.006184894,-0.9931594
0.8988866,10.79907,7.657851,-19.29642,-0.05203885,0.1033043,0.005924422,-0.9932699
0.9100698,10.79922,7.657796,-19.2963,-0.05253536,0.1014722,0.005531095,-0.9934348
0.9214299,10.79933,7.657789,-19.29637,-0.05278889,0.0989745,0.004932306,-0.9936765
0.9335455,10.79958,7.657727,-19.29616,-0.05321474,0.09826894,0.004319203,-0.9937267
0.9441323,10.79975,7.657637,-19.29606,-0.05320604,0.09671926,0.003846468,-0.9938812
0.9550675,10.79993,7.65765,-19.29597,-0.05373557,0.09555249,0.003450518,-0.993967
0.9665419,10.80008,7.657608,-19.29586,-0.05350712,0.09376095,0.003007231,-0.9941514
0.9765353,10.80028,7.657562,-19.29576,-0.05364038,0.09198558,0.002349646,-0.9943117
0.9884512,10.80052,7.657543,-19.29569,-0.05438649,0.08994147,0.002001174,-0.994459
0.9992304,10.80074,7.657465,-19.29559,-0.05455598,0.08801015,0.001792997,-0.9946229
1.010756,10.80104,7.657428,-19.2955,-0.05501738,0.08621293,0.0008775832,-0.9947561
1.02239,10.80122,7.657402,-19.2954,-0.05531735,0.08407128,0.0002984953,-0.9949232
1.033161,10.80138,7.657386,-19.29528,-0.05537096,0.08241753,-0.0003535231,-0.9950584
1.044541,10.80156,7.657283,-19.29511,-0.05502647,0.0810237,-0.0008526273,-0.9951917
1.055091,10.80173,7.657257,-19.29501,-0.0556442,0.07958128,-0.001022517,-0.9952736
1.066483,10.80182,7.657182,-19.29487,-0.05603876,0.07770579,-0.0009299184,-0.9953997
1.077874,10.80204,7.657084,-19.29472,-0.056265,0.07679786,-0.001169678,-0.9954572
1.089073,10.80222,7.656989,-19.29457,-0.05679268,0.07534601,-0.001471027,-0.9955378
1.099806,10.80236,7.65689,-19.29439,-0.05713178,0.07361398,-0.001896385,-0.9956472
1.110877,10.80258,7.656879,-19.29424,-0.05787769,0.07252841,-0.001914105,-0.9956837
1.122012,10.80273,7.656836,-19.29405,-0.0583242,0.07107086,-0.002014031,-0.9957626
1.133158,10.80292,7.656694,-19.29382,-0.05799985,0.06999119,-0.002421429,-0.9958571
1.14447,10.80311,7.656641,-19.29362,-0.05875824,0.06898911,-0.002785628,-0.9958816
1.156324,10.80323,7.65653,-19.2934,-0.05927167,0.06773206,-0.002820801,-0.9959374
1.166039,10.80338,7.656374,-19.29314,-0.05935425,0.06721187,-0.003043133,-0.9959671
1.178058,10.80347,7.656307,-19.29291,-0.06012827,0.06652182,-0.002848126,-0.9959676
1.188912,10.80358,7.656155,-19.29267,-0.06053771,0.06618129,-0.002678041,-0.9959659
1.199888,10.80371,7.656005,-19.29244,-0.06120533,0.06608272,-0.002546866,-0.995932
1.211323,10.8038,7.655895,-19.29222,-0.06208824,0.06594036,-0.001953512,-0.9958881
1.222091,10.80389,7.655757,-19.29207,-0.06208087,0.0659876,-0.002011079,-0.9958853
