Time,Pos X,Pos Y,Pos Z,Rot X,Rot Y,Rot Z,Rot W
0,10.64,7.63,-19.63,0,0,0,1
0,10.74395,7.664648,-19.18198,-0.1710738,0.1175256,-0.03055108,-0.9777465
0.02,10.745,7.661776,-19.17968,-0.1874233,0.116908,-0.03221253,-0.9747653
0.0574355,10.74534,7.661036,-19.17953,-0.1899066,0.1174113,-0.03349863,-0.9741806
0.0663128,10.74486,7.660141,-19.17892,-0.1961792,0.118155,-0.03579367,-0.9727651
0.1136718,10.74508,7.658994,-19.17851,-0.2013674,0.1191944,-0.0384155,-0.9714773
0.1578441,10.74558,7.658447,-19.17822,-0.2016405,0.1199548,-0.04016254,-0.9712564
0.1835769,10.74565,7.658188,-19.17804,-0.2025987,0.1205297,-0.04020056,-0.9709842
0.2121047,10.74584,7.657801,-19.17795,-0.203589,0.1214613,-0.04007189,-0.9706662
0.2307982,10.74599,7.657717,-19.17787,-0.2038915,0.1221658,-0.04015459,-0.9705109
0.2431806,10.74615,7.657649,-19.17787,-0.2038402,0.1219279,-0.03974013,-0.9705687
0.2532108,10.74634,7.65758,-19.17789,-0.2037503,0.1216513,-0.03981658,-0.9706191
0.2637174,10.74641,7.657536,-19.17782,-0.2039106,0.1212216,-0.0395102,-0.9706517
0.2745225,10.74644,7.657538,-19.17768,-0.2040591,0.1198221,-0.03895443,-0.9708167
0.2859185,10.74657,7.657661,-19.17757,-0.2044549,0.1178066,-0.03868019,-0.9709911
0.2970755,10.74682,7.65768,-19.17754,-0.2041006,0.1165328,-0.03850556,-0.9712262
0.3080124,10.74707,7.657701,-19.17754,-0.2036006,0.1147392,-0.03806487,-0.9715621
0.3193038,10.74724,7.657874,-19.17752,-0.2036625,0.1133774,-0.03758463,-0.9717277
0.3302385,10.74754,7.657951,-19.17752,-0.2031206,0.1119229,-0.03756455,-0.9720104
0.3411807,10.74781,7.65806,-19.17752,-0.2028309,0.1101688,-0.03758287,-0.9722705
0.3419438,10.25029,7.626633,-19.17861,0.09940193,0.07090282,-0.00757871,0.9924892
0.4133296,10.25066,7.62865,-19.17885,0.09422491,0.07115752,-0.00380222,0.9929974
0.4237493,10.25056,7.629003,-19.17894,0.09301703,0.07040166,-0.002967994,0.993168
0.4682767,10.24959,7.630699,-19.17962,0.08603168,0.06537402,-0.0005247089,0.9941452
0.5232075,10.24811,7.631779,-19.18066,0.07379562,0.06081948,0.001333013,0.9954162
0.566987,10.247,7.631824,-19.18167,0.06530637,0.05819554,0.001532746,0.9961656
0.5845601,10.24705,7.631505,-19.1817,0.06480674,0.05713126,0.001261642,0.9962603
0.6034757,10.2466,7.631534,-19.18219,0.06074369,0.05611002,0.001138315,0.9965745
0.6254201,10.24605,7.631173,-19.18258,0.05843368,0.05478436,0.0003500466,0.9967869
0.6470015,10.24537,7.630614,-19.18295,0.0574837,0.05304299,-4.738629E-05,0.9969364
0.6690514,10.24468,7.630112,-19.18302,0.05783637,0.05213692,-0.0001021262,0.9969637
0.6918615,10.24394,7.629512,-19.18316,0.06011264,0.04967316,0.0003044386,0.9969549
