Time,Drone 1,Drone 2,Planned
4.02,7,12,1
4.02,12,7,1
4.32,10,11,1
4.32,11,10,1
8.52,19,14,0.7287099
8.52,14,19,0.7287099
8.72,19,14,0.6098062
8.72,14,19,0.6098062
8.92,19,14,0.6003268
8.92,14,19,0.6003268
9.12,19,14,0.7052859
9.12,14,19,0.7052859
9.36,0,28,1
9.36,28,0,1
18.92,9,21,0.7495908
18.92,21,9,0.7495908
19.16,9,21,0.700111
19.16,21,9,0.700111
23.1,19,11,0.7306051
23.1,11,19,0.7306051
24.14,28,5,1
24.14,5,28,1
25.14,6,5,0.9169203
31.08,22,2,0.7179512
31.08,2,22,0.7179512
31.18,5,24,1
31.18,24,5,1
31.28,22,2,0.6702158
31.28,2,22,0.6702158
31.44,22,2,0.6560206
31.44,2,22,0.6560206
31.66,22,2,0.6726627
31.66,2,22,0.6726627
39.1,27,19,0.3450749
39.1,19,27,0.3450749
39.3,27,19,0.4515269
39.3,19,27,0.4515269
40.92,18,1,1
40.92,1,18,1
43.7,8,19,1.140855
43.7,19,8,1.140855
43.88,8,19,1.077782
43.88,19,8,1.077782
43.94,8,19,1.066686
43.94,19,8,1.066686
44.1,8,19,1.057867
44.1,19,8,1.057867
44.32,8,19,1.104352
44.32,19,8,1.104352
44.5,8,19,1.185073
44.5,19,8,1.185073
44.7,8,19,1.312751
44.7,19,8,1.312751
49.16,6,15,1
49.16,15,6,1
54.9,20,14,0.8133442
54.9,14,20,0.8133442
66.64,22,24,1
66.64,24,22,1
72.54,5,24,1
72.54,24,5,1
73.88,22,7,0.7573637
73.88,7,22,0.7573637
73.96,22,7,0.7835379
73.96,7,22,0.7835379
74.12,22,7,0.8451537
74.12,7,22,0.8451537
74.32,22,7,0.9215957
74.32,7,22,0.9215957
78.5,25,20,1.059631
78.5,20,25,1.059631
78.68,25,20,1.067216
78.68,20,25,1.067216
78.88,25,20,1.109974
78.88,20,25,1.109974
85.7,3,1,1
85.7,1,3,1
89.1,10,28,0.7547998
89.1,28,10,0.7547998
89.28,10,28,0.6589014
89.28,28,10,0.6589014
93.66,19,23,1
93.66,23,19,1
97.5,25,8,0.7282807
97.5,8,25,0.7282807
97.68,25,8,0.5375792
97.68,8,25,0.5375792
97.88,25,8,0.4312847
97.88,8,25,0.4312847
97.93999,25,8,0.4345617
97.93999,8,25,0.4345617
98.07999,25,8,0.5132588
98.07999,8,25,0.5132588
98.28,25,8,0.72205
98.28,8,25,0.72205
101.28,9,10,0.705287
101.28,10,9,0.705287
101.48,9,10,0.700116
101.48,10,9,0.700116
117.04,2,1,0.5741177
117.04,1,2,0.5741177
117.1,2,1,0.4645246
117.1,1,2,0.4645246
117.3,2,1,0.294845
117.3,1,2,0.294845
117.5,2,1,0.6354264
117.5,1,2,0.6354264
125.28,0,27,0.8161244
125.28,27,0,0.8161244
125.52,0,27,0.7367534
125.52,27,0,0.7367534
125.68,13,19,0.839288
125.68,19,13,0.839288
125.68,0,27,0.7121772
125.68,27,0,0.7121772
125.9,0,27,0.7188765
125.9,27,0,0.7188765
125.9,13,19,0.7326029
125.9,19,13,0.7326029
126.08,13,19,0.8170766
126.08,19,13,0.8170766
138.56,13,8,1
138.56,8,13,1
141.26,4,7,1
141.26,7,4,1
151.12,13,7,1
151.12,7,13,1
158.48,27,22,0.7166083
158.48,22,27,0.7166083
165.54,17,18,1
165.54,18,17,1
173.28,21,14,0.9862486
173.28,14,21,0.9862486
181.08,27,2,0.968704
181.08,2,27,0.968704
185.86,3,7,0.9697309
185.86,7,3,0.9697309

