Time,Drone 1,Drone 2,Planned
9.08,9,0,1
9.08,0,9,1
11.04,5,6,1
11.04,6,5,1
29.2,0,7,1
29.2,7,0,1
29.3,2,6,1
29.3,6,2,1
38.22,1,4,1
38.22,4,1,1
50.16,8,3,1
50.16,3,8,1
63.26,0,3,1
63.26,3,0,1
75.28,1,4,1
75.28,4,1,1
86,0,4,1
86,4,0,1
106.76,3,8,1
106.76,8,3,1
107.5,9,0,1
107.5,0,9,1
124.44,7,8,1
124.44,8,7,1
132.06,1,4,1
132.06,4,1,1
148.76,7,9,1
148.76,9,7,1
153.28,5,8,0.8320752
153.28,8,5,0.8320752
153.96,2,1,1
153.96,1,2,1
155.14,0,4,1
155.14,4,0,1
163.54,6,8,1
163.54,8,6,1
177.14,8,0,1
177.14,0,8,1

