Time,Pos X,Pos Y,Pos Z,Rot X,Rot Y,Rot Z,Rot W
0,10.64,7.63,-19.63,0,0,0,1
0.02,10.64,7.63,-19.63,0,0,0,1
0.3533334,10.4811,7.629438,-19.15268,-0.05990897,0.1884814,-0.01573444,-0.9801215
0.3809249,10.48114,7.629488,-19.15227,-0.05888551,0.1922423,-0.01654893,-0.9794395
0.3909499,10.48118,7.629488,-19.1521,-0.05853431,0.193568,-0.01685103,-0.9791942
0.3981898,10.48131,7.629407,-19.15139,-0.05767423,0.198678,-0.01806207,-0.9781997
0.4065822,10.48144,7.629323,-19.15117,-0.05781839,0.1999921,-0.01836998,-0.9779176
0.4178095,10.48151,7.629255,-19.15097,-0.05838129,0.2003386,-0.01839666,-0.9778127
0.4288738,10.4816,7.629231,-19.15078,-0.05906114,0.2008723,-0.01825868,-0.9776649
0.4397774,10.48179,7.629124,-19.15054,-0.05899632,0.2016918,-0.01817982,-0.9775016
0.44207,10.46262,7.612229,-19.16204,-0.1334576,0.1046114,-0.03205108,-0.9849966
0.5595005,10.46294,7.608909,-19.15604,-0.1427834,0.1129437,-0.03584042,-0.9826353
0.572455,10.46302,7.60861,-19.15561,-0.1437565,0.1136068,-0.03613669,-0.9824061
0.6041237,10.4633,7.607886,-19.15439,-0.1476657,0.1151944,-0.0364533,-0.9816294
0.648881,10.4639,7.6071,-19.15298,-0.1520311,0.1163069,-0.03548985,-0.9808668
0.6920484,10.4647,7.60615,-19.15125,-0.1578164,0.1167193,-0.03412222,-0.9799522
0.7133256,10.46495,7.605829,-19.15066,-0.1605225,0.1165687,-0.03342213,-0.9795547
0.7344142,10.46524,7.605416,-19.14983,-0.1630478,0.1176736,-0.0329595,-0.979021
0.7565721,10.46553,7.605112,-19.14891,-0.1655272,0.1195709,-0.03388716,-0.9783431
0.7786098,10.46585,7.604834,-19.148,-0.1690562,0.1221736,-0.03414313,-0.9774088
0.8007244,10.46624,7.60436,-19.1474,-0.1739842,0.1242618,-0.03200361,-0.9763526
0.8230799,10.46669,7.603802,-19.14696,-0.1803154,0.1254288,-0.03110471,-0.9750828
0.8457552,10.46723,7.6032,-19.14636,-0.1844393,0.1287018,-0.03002918,-0.973918
0.8672581,10.46772,7.602656,-19.14549,-0.1875998,0.1327175,-0.02908632,-0.9728034
0.8892643,10.46817,7.602427,-19.14456,-0.1935741,0.1366118,-0.02709737,-0.9711499
0.9126213,10.4687,7.602333,-19.14342,-0.1991403,0.1405068,-0.02590657,-0.9694998
0.9347811,10.4691,7.602384,-19.14187,-0.2005968,0.1444404,-0.02272441,-0.9687009
0.9563212,10.46941,7.60254,-19.14009,-0.2008506,0.1478457,-0.02077149,-0.9681783
0.9789547,10.46976,7.602463,-19.13836,-0.2035688,0.1517372,-0.02020261,-0.9670199
1.001596,10.47004,7.602003,-19.13691,-0.2085606,0.155705,-0.01925734,-0.9653433
1.023915,10.47018,7.601702,-19.13536,-0.2141137,0.1590252,-0.01763586,-0.9636158
1.046591,10.4702,7.601538,-19.13354,-0.214798,0.1626821,-0.01589299,-0.9628831
1.068373,10.47019,7.601209,-19.13164,-0.2149596,0.1655525,-0.01544879,-0.9623649
1.089533,10.47041,7.600707,-19.12977,-0.2166725,0.1691515,-0.01645113,-0.9613377
1.112589,10.47052,7.599918,-19.12783,-0.2191687,0.1706557,-0.01720868,-0.9604924
1.134129,10.47086,7.599174,-19.12573,-0.2216741,0.1733144,-0.01658609,-0.9594518
1.156628,10.47115,7.598362,-19.12342,-0.2228247,0.1748567,-0.01486959,-0.9589334
1.179014,10.47159,7.597749,-19.12106,-0.2252743,0.1767923,-0.01420358,-0.9580158
1.200831,10.47226,7.597342,-19.11866,-0.2279648,0.1793086,-0.01483089,-0.9569016
1.224042,10.47295,7.597132,-19.11621,-0.2292028,0.1812826,-0.01477455,-0.9562345
1.245987,10.47376,7.59676,-19.11374,-0.2286457,0.1837428,-0.01334361,-0.9559193
1.268171,10.47468,7.596364,-19.11126,-0.2283582,0.1848408,-0.01129373,-0.9558027
1.290323,10.47572,7.595983,-19.1087,-0.2291187,0.1861469,-0.010365,-0.9553777
1.312594,10.47681,7.595603,-19.10593,-0.2288685,0.1874558,-0.01046536,-0.9551806
1.334588,10.4779,7.595158,-19.10305,-0.2280573,0.1888279,-0.009437729,-0.9551151
1.357688,10.47904,7.594501,-19.10009,-0.2266111,0.1895994,-0.008736293,-0.9553131
1.380459,10.48037,7.59371,-19.09713,-0.226314,0.191003,-0.009263141,-0.9550989
1.402089,10.48166,7.592767,-19.0941,-0.2260825,0.1925474,-0.009634088,-0.95484
1.424225,10.48284,7.5918,-19.09097,-0.2261001,0.1947685,-0.01024881,-0.9543788
1.446954,10.48368,7.590753,-19.08768,-0.2249146,0.1957337,-0.008867066,-0.9544753
1.468681,10.48423,7.589814,-19.08439,-0.2218772,0.1958023,-0.007351585,-0.9551848
1.490929,10.48477,7.588813,-19.08127,-0.2205455,0.1963062,-0.006078132,-0.9553987
1.51332,10.48522,7.58766,-19.07845,-0.2215753,0.1961947,-0.004739526,-0.9551909
1.536349,10.48537,7.586967,-19.07657,-0.2213912,0.196777,-0.004959382,-0.9551127
1.558781,10.48555,7.585969,-19.07381,-0.2199845,0.1985201,-0.005279769,-0.9550753
1.580523,10.48548,7.585137,-19.07159,-0.2186678,0.1996541,-0.004614254,-0.9551446
1.602135,10.48541,7.584034,-19.06933,-0.2164406,0.2001708,-0.002699453,-0.9555511
1.62369,10.48513,7.583066,-19.06759,-0.2154627,0.1985422,-0.0007451272,-0.9561152
1.64676,10.48481,7.582146,-19.06613,-0.2145921,0.197444,6.842684E-05,-0.9565386
1.669523,10.48426,7.581024,-19.06431,-0.2125308,0.1967044,0.0006710536,-0.9571508
1.692892,10.4838,7.580315,-19.06347,-0.2121416,0.1968819,0.0003574477,-0.9572008
1.714555,10.48337,7.579779,-19.06308,-0.2132782,0.1962914,-4.711048E-06,-0.9570695
1.735807,10.48287,7.578572,-19.06162,-0.214689,0.1955981,-0.0002171928,-0.956896
1.757609,10.48231,7.577219,-19.06005,-0.2161019,0.1939422,-0.001032755,-0.9569145
1.779944,10.48188,7.575941,-19.05872,-0.217092,0.1914613,-0.001477126,-0.9571893
1.802518,10.4817,7.574741,-19.05758,-0.2188446,0.1875974,-0.001421286,-0.9575554
1.824998,10.48186,7.573891,-19.05684,-0.2206084,0.1831657,-0.001900461,-0.9580076
1.847868,10.4821,7.573116,-19.05612,-0.2218969,0.1777167,-0.002436641,-0.9587349
1.869128,10.48264,7.572577,-19.05537,-0.2225996,0.1704279,-0.002132581,-0.9598954
1.892114,10.48314,7.572183,-19.05462,-0.22127,0.1627683,-0.002663858,-0.9615295
1.914043,10.48385,7.571826,-19.05395,-0.2206914,0.1566091,-0.003754064,-0.9626811
1.936087,10.48457,7.571435,-19.05342,-0.2211305,0.1501401,-0.004320039,-0.9636081
1.958223,10.48536,7.571136,-19.05287,-0.2203255,0.1442684,-0.003148946,-0.9646934
1.98063,10.48618,7.571085,-19.05229,-0.2191157,0.1386884,-0.002528252,-0.9657885
2.002853,10.48702,7.57091,-19.05173,-0.2170547,0.1338887,-0.002472133,-0.9669307
2.025088,10.48765,7.570809,-19.05131,-0.2155346,0.1295665,-0.001576856,-0.967861
2.047213,10.48834,7.570744,-19.05095,-0.2149258,0.1258401,-0.0004679775,-0.9684891
2.069726,10.48894,7.570631,-19.05068,-0.2150628,0.1227612,0.0007494549,-0.9688535
2.093157,10.48941,7.570412,-19.05048,-0.2156018,0.1212688,0.001863834,-0.9689202
2.114403,10.48974,7.570147,-19.05028,-0.2166529,0.1202213,0.001528544,-0.9688168
