Time,Pos X,Pos Y,Pos Z,Rot X,Rot Y,Rot Z,Rot W
0,10.64,7.63,-19.63,0,0,0,1
0.02,10.64,7.63,-19.63,0,0,0,1
0.3533334,10.47526,7.627574,-19.14529,-0.01527334,0.08456209,0.02000011,-0.9961004
0.3901151,10.47507,7.627648,-19.14561,-0.01519101,0.08881167,0.01894243,-0.9957525
0.3989919,10.47502,7.627667,-19.14569,-0.01523854,0.08971271,0.01875941,-0.9956744
0.4153237,10.47474,7.627837,-19.14617,-0.01579182,0.09521583,0.01806132,-0.9951675
0.4258808,10.47464,7.627825,-19.14624,-0.01538083,0.09607031,0.01802799,-0.9950925
0.4386571,10.4745,7.627865,-19.14636,-0.01619172,0.09685284,0.0180494,-0.9950033
0.4474618,10.47435,7.627813,-19.14641,-0.01626404,0.09770454,0.01813053,-0.9949174
0.4601783,10.47424,7.62784,-19.14649,-0.01680025,0.09863351,0.0180613,-0.9948181
0.4706805,10.47409,7.62786,-19.14651,-0.01686864,0.09885295,0.01814559,-0.9947936
0.4808024,10.474,7.627945,-19.1466,-0.0176062,0.1003574,0.01825614,-0.9946281
0.4922501,10.47381,7.627976,-19.14666,-0.01799878,0.1007732,0.01878655,-0.9945692
0.5025451,10.47368,7.627964,-19.1467,-0.0182322,0.101137,0.01908843,-0.9945223
0.5170844,10.4735,7.62799,-19.1468,-0.01897377,0.1017191,0.01934139,-0.9944441
0.5270712,10.4734,7.628032,-19.14687,-0.01956657,0.1020611,0.01913952,-0.9944015
0.5362068,10.47325,7.628065,-19.14694,-0.01993029,0.1026515,0.01948306,-0.9943268
0.5481743,10.47311,7.62807,-19.147,-0.02014663,0.1027342,0.01947628,-0.9943141
0.5585579,10.47296,7.628104,-19.14707,-0.02056658,0.1032794,0.01981425,-0.9942424
0.5696259,10.47285,7.628086,-19.14715,-0.02084835,0.1041816,0.01974071,-0.9941438
0.5812858,10.47272,7.628071,-19.14719,-0.02102921,0.1038732,0.01987317,-0.9941697
0.5922475,10.47265,7.628032,-19.14724,-0.02109225,0.1041709,0.01977848,-0.994139
0.6035331,10.4725,7.628032,-19.14732,-0.02157821,0.1041068,0.01995453,-0.9941317
0.614141,10.47232,7.628062,-19.14746,-0.02246458,0.1048235,0.02024463,-0.994031
0.6274607,10.47208,7.628047,-19.14756,-0.02310753,0.1045887,0.02062658,-0.9940331
0.635891,10.47207,7.627991,-19.14758,-0.02303968,0.1046928,0.02055362,-0.9940252
0.6483532,10.47183,7.627997,-19.14773,-0.02426027,0.1048085,0.02085646,-0.9939777
0.6583163,10.47171,7.627994,-19.14786,-0.02515548,0.1051533,0.02098821,-0.9939162
0.670108,10.47161,7.627963,-19.14794,-0.02542682,0.1050396,0.02087696,-0.9939237
0.6814439,10.4715,7.627953,-19.14802,-0.02570293,0.1050946,0.02107506,-0.9939066
0.6918613,10.47145,7.627945,-19.14805,-0.02570841,0.1050302,0.02095548,-0.9939158
0.7043328,10.47132,7.62798,-19.14816,-0.02632065,0.1053548,0.02110606,-0.9938622
0.7190706,10.47112,7.628035,-19.14829,-0.02708897,0.1054239,0.02129503,-0.9938303
0.726715,10.47109,7.628023,-19.14834,-0.02714018,0.1056648,0.02129488,-0.9938033
0.7378842,10.47093,7.628066,-19.14847,-0.02780513,0.1056788,0.02134154,-0.9937824
0.7497935,10.47081,7.628109,-19.14857,-0.02820549,0.1059283,0.02155632,-0.9937399
0.7601191,10.47076,7.628136,-19.14866,-0.02841908,0.1062368,0.02126231,-0.9937073
0.772692,10.47063,7.628192,-19.1488,-0.02881058,0.1065648,0.02104766,-0.9936654
0.7843729,10.4705,7.628271,-19.14893,-0.02933758,0.1069778,0.02082305,-0.9936103
0.7928392,10.47043,7.62831,-19.149,-0.02948577,0.1072899,0.02077069,-0.9935734
0.803982,10.47033,7.628393,-19.1491,-0.02971977,0.1075957,0.02041029,-0.9935408
0.8158727,10.47023,7.628484,-19.14919,-0.03000958,0.1079502,0.02036519,-0.9934946
0.8277587,10.47014,7.628539,-19.14925,-0.03013979,0.1080742,0.0199211,-0.9934862
0.838537,10.47006,7.628625,-19.14935,-0.03043505,0.10857,0.01966051,-0.9934283
0.8495395,10.46997,7.628736,-19.14949,-0.03098066,0.1090954,0.01916773,-0.9933635
0.8610753,10.46988,7.628815,-19.1496,-0.03142316,0.1092919,0.01885984,-0.9933339
0.8726705,10.4698,7.628888,-19.14969,-0.03168104,0.1093529,0.01873727,-0.9933213
0.8833809,10.46974,7.628962,-19.14977,-0.03168601,0.1096023,0.01864642,-0.9932954
0.8945284,10.46967,7.629087,-19.14988,-0.03195051,0.1097912,0.01834217,-0.9932716
0.9064294,10.4696,7.629187,-19.14996,-0.03198365,0.1100669,0.01821178,-0.9932425
0.9168382,10.46953,7.629277,-19.15003,-0.03211908,0.1101282,0.01809103,-0.9932336
0.9285707,10.46944,7.629476,-19.15016,-0.03261987,0.1103276,0.01769457,-0.9932023
0.9402285,10.46935,7.629572,-19.15025,-0.03294427,0.1102357,0.01752341,-0.9932048
0.9504647,10.46927,7.629787,-19.1504,-0.03382562,0.1103513,0.01718614,-0.9931682
0.9627675,10.46925,7.629909,-19.15051,-0.03416272,0.1107343,0.01679114,-0.9931208
0.9725305,10.46921,7.630032,-19.15059,-0.03447497,0.1107146,0.01657859,-0.9931158
0.9829943,10.46918,7.630095,-19.15064,-0.03452607,0.1107509,0.01660026,-0.9931096
0.9947839,10.46918,7.630136,-19.15069,-0.03445355,0.1109339,0.0164818,-0.9930937
1.006117,10.46917,7.630245,-19.15079,-0.03468793,0.1111181,0.01637961,-0.9930667
1.017336,10.46916,7.630313,-19.15086,-0.03486388,0.1112456,0.01633804,-0.9930468
1.027981,10.46916,7.630401,-19.15095,-0.03526781,0.111222,0.01619877,-0.9930375
1.038308,10.46918,7.630451,-19.15102,-0.03563071,0.1113024,0.0160677,-0.9930177
1.051329,10.46922,7.630564,-19.15117,-0.03659378,0.1112956,0.01632465,-0.9929792
1.061199,10.46927,7.630594,-19.15123,-0.03690553,0.1113198,0.0166779,-0.9929591
1.072003,10.46937,7.630631,-19.1513,-0.03728799,0.1115157,0.01672155,-0.9929221
1.083929,10.46945,7.630702,-19.15139,-0.03775759,0.1114881,0.01727977,-0.9928979
1.095034,10.46958,7.630805,-19.15148,-0.03843322,0.1117403,0.01754339,-0.992839
1.105852,10.46965,7.630896,-19.15155,-0.03900807,0.1113637,0.01812345,-0.9928485
1.11649,10.46981,7.630919,-19.15159,-0.0392707,0.111884,0.01864672,-0.9927699
1.12818,10.46999,7.630993,-19.15169,-0.04021059,0.111961,0.01928739,-0.9927114
1.138469,10.47023,7.631066,-19.15179,-0.04137247,0.1123795,0.01966442,-0.9926089
1.149719,10.47042,7.631108,-19.15186,-0.04224887,0.1126586,0.02080982,-0.9925171
1.161072,10.47058,7.631084,-19.15188,-0.04268201,0.1124101,0.02113125,-0.9925199
1.172492,10.47081,7.631068,-19.15191,-0.0431734,0.1127027,0.02199677,-0.9924467
1.1827,10.47101,7.631066,-19.15194,-0.04388511,0.1128062,0.02282014,-0.9923851
1.194761,10.47123,7.631072,-19.15196,-0.04498899,0.1127063,0.02332759,-0.9923352
1.205642,10.47147,7.631032,-19.15195,-0.04585459,0.1129453,0.02416804,-0.9922483
1.216347,10.47174,7.630938,-19.15192,-0.04682618,0.1130368,0.02440203,-0.9921868
1.227229,10.47194,7.630904,-19.15192,-0.04841711,0.1131068,0.0248321,-0.9920918
1.239364,10.47228,7.630749,-19.15186,-0.05008126,0.113257,0.02512237,-0.9919847
1.250106,10.47262,7.630578,-19.15179,-0.05185669,0.1133471,0.02536736,-0.991877
