Time,Click No
18.4952,1
29.68871,2
35.22596,3
38.2643,4
45.09121,5
47.53288,6
59.82184,7
74.92427,8
85.9547,9
89.74415,10
95.50409,11
102.734,12
106.5786,13
107.9159,14
122.2437,15
130.0264,16
160.9491,17
177.1319,18

