Time,Drone 1,Drone 2,Planned
2.02,1,4,1
2.02,4,1,1
10.56,15,2,0.7719781
10.56,2,15,0.7719781
10.76,15,2,0.7717326
10.76,2,15,0.7717326
13.74,3,0,1
13.74,0,3,1
14.54,5,7,0.9918546
14.54,7,5,0.9918546
22,4,5,1
22,5,4,1
35.28,8,6,1
35.28,6,8,1
36.74,19,14,0.6793787
36.74,14,19,0.6793787
36.94,19,14,0.6680291
36.94,14,19,0.6680291
37.14,19,14,0.6892856
37.14,14,19,0.6892856
37.36,19,14,0.7475463
37.36,14,19,0.7475463
43.48,0,5,1
43.48,5,0,1
55.96,5,9,0.3988445
55.96,9,5,0.3988445
56.14,5,9,0.3360659
56.14,9,5,0.3360659
56.34,5,9,0.5398062
56.34,9,5,0.5398062
57.84,7,14,1
57.84,14,7,1
68.4,11,15,1
68.4,15,11,1
82.93999,18,3,0.5329084
82.93999,3,18,0.5329084
83.14,18,3,0.5129452
83.14,3,18,0.5129452
91.62,15,9,1
91.62,9,15,1
113.48,17,1,1
113.48,1,17,1
129.46,1,16,1
129.46,16,1,1
148.34,4,19,1
148.34,19,4,1
152.94,6,9,0.770853
152.94,9,6,0.770853
153.14,6,9,0.7268888
153.14,9,6,0.7268888
153.32,6,9,0.8023375
153.32,9,6,0.8023375
158.4,11,0,1
158.4,0,11,1
168.6,0,16,1
168.6,16,0,1
169.32,4,19,0.8498906
169.32,19,4,0.8498906
169.54,4,19,0.8205984
169.54,19,4,0.8205984
169.74,4,19,0.8112791
169.74,19,4,0.8112791
169.94,4,19,0.818494
169.94,19,4,0.818494

