Time,Click No
9.002898,1
20.15084,2
23.74927,3
35.68311,4
48.61884,5
57.01385,6
65.92806,7
72.35071,8
81.88122,9
83.98936,10
89.70381,11
93.65747,12
99.63707,13
104.9796,14
115.1021,15
117.5229,16
120.7244,17
133.9921,18
144.2605,19
151.5713,20
154.0585,21
161.6814,22
165.9244,23
173.2583,24
182.0618,25

