Time,Drone 1,Drone 2,Planned
4.02,7,12,1
4.02,12,7,1
4.3,10,11,1
4.3,11,10,1
8.48,19,14,0.7640119
8.48,14,19,0.7640119
8.7,19,14,0.6179323
8.7,14,19,0.6179323
8.9,19,14,0.5957164
8.9,14,19,0.5957164
9,19,14,0.6250061
9,14,19,0.6250061
9.36,28,0,1
9.36,0,28,1
18.9,9,21,0.7582926
18.9,21,9,0.7582926
19.1,9,21,0.6970904
19.1,21,9,0.6970904
19.26,9,21,0.7258121
19.26,21,9,0.7258121
31.08,2,22,0.7180074
31.08,22,2,0.7180074
31.18,5,24,1
31.18,24,5,1
31.3,2,22,0.6671733
31.3,22,2,0.6671733
31.48,2,22,0.6558534
31.48,22,2,0.6558534
31.68,2,22,0.676538
31.68,22,2,0.676538
31.88,2,22,0.7294091
31.88,22,2,0.7294091
38.92,19,27,0.3422342
38.92,27,19,0.3422342
39.08,19,27,0.3480125
39.08,27,19,0.3480125
39.28,19,27,0.4465225
39.28,27,19,0.4465225
40.92,1,18,1
40.92,18,1,1
43.7,8,19,1.145953
43.7,19,8,1.145953
43.9,8,19,1.078944
43.9,19,8,1.078944
44.08,8,19,1.063349
44.08,19,8,1.063349
44.3,8,19,1.103509
44.3,19,8,1.103509
44.5,8,19,1.192756
44.5,19,8,1.192756
44.68,8,19,1.304708
44.68,19,8,1.304708
44.86,8,19,1.440567
44.86,19,8,1.440567
48.5,13,8,1.060897
48.5,8,13,1.060897
54.92,14,20,0.8204688
54.92,20,14,0.8204688
59.5,5,2,0.8719792
59.5,2,5,0.8719792
59.5,0,15,0.8678849
59.5,15,0,0.8678849
59.72,0,15,0.7855384
59.72,15,0,0.7855384
59.86,0,15,0.7596697
59.86,15,0,0.7596697
60.12,0,15,0.7702752
60.12,15,0,0.7702752
60.26,0,15,0.8069683
60.26,15,0,0.8069683
60.34,0,15,0.8365827
60.34,15,0,0.8365827
60.52,0,15,0.9232225
60.52,15,0,0.9232225
78.48,25,20,1.057484
78.48,20,25,1.057484
78.7,25,20,1.066235
78.7,20,25,1.066235
78.88,25,20,1.106267
78.88,20,25,1.106267
89.07999,10,28,0.7743524
89.07999,28,10,0.7743524
89.28,10,28,0.6588762
89.28,28,10,0.6588762
89.48,10,28,0.7478375
89.48,28,10,0.7478375
97.5,8,25,0.7295606
97.5,25,8,0.7295606
97.64,8,25,0.5770674
97.64,25,8,0.5770674
97.7,8,25,0.5259796
97.7,25,8,0.5259796
97.92,8,25,0.4327145
97.92,25,8,0.4327145
98.1,8,25,0.5307857
98.1,25,8,0.5307857
98.18,8,25,0.6061453
98.18,25,8,0.6061453
98.28,8,25,0.7207397
98.28,25,8,0.7207397
104.92,17,3,1
104.92,3,17,1
108.28,21,15,1
108.28,15,21,1
117.2,1,2,0.3099782
117.2,2,1,0.3099782
117.28,1,2,0.2812102
117.28,2,1,0.2812102
117.52,1,2,0.6725211
117.52,2,1,0.6725211
120.44,9,18,1
120.44,18,9,1
125.48,27,0,0.7421041
125.48,0,27,0.7421041
125.62,27,0,0.7129088
125.62,0,27,0.7129088
125.68,13,19,0.8377265
125.68,19,13,0.8377265
125.68,27,0,0.7059935
125.68,0,27,0.7059935
125.9,27,0,0.7119864
125.9,0,27,0.7119864
125.9,13,19,0.7325675
125.9,19,13,0.7325675
126.04,13,19,0.7868078
126.04,19,13,0.7868078
126.7,3,20,0.5581565
126.7,20,3,0.5581565
126.84,3,20,0.5628891
126.84,20,3,0.5628891
126.92,3,20,0.5735456
126.92,20,3,0.5735456
127.1,3,20,0.6141272
127.1,20,3,0.6141272
127.24,29,28,0.7645013
127.24,28,29,0.7645013
127.24,3,20,0.6582972
127.24,20,3,0.6582972
127.5,3,20,0.7690657
127.5,20,3,0.7690657
138.56,8,13,1
138.56,13,8,1
141.26,4,7,1
141.26,7,4,1
151.12,13,7,1
151.12,7,13,1
158.44,27,22,0.7275692
158.44,22,27,0.7275692
165.54,17,18,1
165.54,18,17,1
181.06,2,27,1.006515
181.06,27,2,1.006515
181.1,2,27,0.9583975
181.1,27,2,0.9583975
185.86,7,3,0.9731002
185.86,3,7,0.9731002

