Time,Drone 1,Drone 2,Planned
9.08,19,14,0
9.08,14,19,0
24.12,28,5,1
24.12,5,28,1
25.12,6,5,0
49.16,6,15,1
49.16,15,6,1
66.64,24,22,1
66.64,22,24,1
72.54,5,24,1
72.54,24,5,1
73.74,7,22,0
73.74,22,7,0
73.9,7,22,0
73.9,22,7,0
74.1,7,22,0
74.1,22,7,0
74.3,7,22,0
74.3,22,7,0
82.1,25,23,0
82.1,23,25,0
82.32,25,23,0
82.32,23,25,0
82.5,25,23,0
82.5,23,25,0
82.66,25,23,0
82.66,23,25,0
82.66,1,17,0
82.66,17,1,0
85.7,1,3,1
85.7,3,1,1
93.66,19,23,1
93.66,23,19,1
101.3,10,9,0
101.3,9,10,0
101.5,10,9,0
101.5,9,10,0
117.1,1,2,0
117.1,2,1,0
135.1,2,1,0
135.1,1,2,0
135.3,2,1,0
135.3,1,2,0
173.28,21,14,0
173.28,14,21,0

