Time,Pos X,Pos Y,Pos Z,Rot X,Rot Y,Rot Z,Rot W
0,10.64,7.63,-19.63,0,0,0,1
0,10.61135,7.853343,-19.03894,-0.1888223,0.09853782,-0.03041157,-0.9765816
0.02,10.60958,7.851684,-19.04016,-0.1900345,0.09983786,-0.03190008,-0.9761668
0.0569221,10.6093,7.85094,-19.04029,-0.1900537,0.09968592,-0.03251813,-0.9761582
0.0680996,10.60927,7.850698,-19.04031,-0.1902614,0.09989522,-0.03294788,-0.976082
0.105246,10.60925,7.849866,-19.04034,-0.1910152,0.1001585,-0.03340638,-0.9758921
0.1500898,10.60937,7.849053,-19.04033,-0.1918493,0.1004,-0.03346314,-0.9757017
0.1754559,10.60924,7.848601,-19.04024,-0.1928554,0.1011922,-0.03392431,-0.9754056
0.2009412,10.60948,7.848364,-19.04036,-0.1931181,0.1014744,-0.03428769,-0.9753116
0.2254835,10.60981,7.848222,-19.04055,-0.1930853,0.1013899,-0.03431401,-0.9753259
0.2473573,10.60978,7.848178,-19.04059,-0.1922897,0.101404,-0.03464924,-0.9754698
0.2693931,10.60998,7.848192,-19.04078,-0.1918294,0.1008908,-0.034629,-0.9756144
0.2905482,10.61001,7.848313,-19.04087,-0.1908083,0.09988952,-0.03532312,-0.9758927
0.3133475,10.6104,7.848399,-19.04112,-0.1902844,0.09927713,-0.03534763,-0.9760566
0.3349036,10.61062,7.848586,-19.04126,-0.1897179,0.09872209,-0.03600738,-0.976199
0.3572023,10.61097,7.848839,-19.04148,-0.1893045,0.09708389,-0.03635912,-0.9764305
0.3800265,10.61127,7.849051,-19.04163,-0.1898599,0.0952537,-0.03670403,-0.97649
0.4014209,10.61172,7.849262,-19.04178,-0.1897998,0.09219653,-0.03679451,-0.9767917
0.4239998,10.6122,7.849477,-19.04188,-0.1890315,0.08967289,-0.03774225,-0.9771394
0.4488639,10.61296,7.849724,-19.0421,-0.1894539,0.08529516,-0.03785858,-0.977445
0.4690594,10.61368,7.849849,-19.04225,-0.1900092,0.08170866,-0.03689106,-0.9776806
0.4914178,10.61448,7.849936,-19.04235,-0.1904175,0.07643267,-0.03737238,-0.9780095
0.5132091,10.61542,7.8499,-19.04239,-0.1896087,0.06972586,-0.03796399,-0.9786448
0.5352182,10.61658,7.849772,-19.04243,-0.1903143,0.06393531,-0.03754666,-0.9789193
0.5374481,10.52425,7.586139,-19.06711,-0.4025402,-0.02697578,0.0158963,-0.9148667
0.7152183,10.52643,7.58582,-19.06876,-0.4074639,-0.026864,0.01987663,-0.9126097
0.7301213,10.52644,7.585636,-19.06874,-0.4079961,-0.02671235,0.01975884,-0.912379
0.8579778,10.5246,7.585945,-19.06783,-0.4072892,-0.01118554,0.02039556,-0.913003
0.9630364,10.52026,7.5904,-19.06622,-0.380101,0.02520501,0.02206912,-0.9243381
1.00692,10.51888,7.593004,-19.06588,-0.3673723,0.03766429,0.02546603,-0.9289621
1.02727,10.51767,7.595026,-19.0657,-0.3568303,0.04913563,0.02703598,-0.9324843
1.043262,10.51747,7.595334,-19.06596,-0.3556638,0.04993483,0.02786153,-0.9328631
1.065776,10.51676,7.596459,-19.06625,-0.3513599,0.05574405,0.02844253,-0.9341466
1.07439,10.5161,7.597333,-19.06638,-0.346726,0.06099034,0.02849865,-0.9355475
1.081949,10.51548,7.598302,-19.06654,-0.3427185,0.06685697,0.02920989,-0.9366008
