Time,CSV Path,Total Planned Collisions,Total Planned Collisions Saved,Total Planned Collisions Collided,Total Collisions,User Click Count
0,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.02,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.3533334,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.3698796,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.3833314,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.3966466,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.410104,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.4234369,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.4373226,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.4508768,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.4642096,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.4776694,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.4910029,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.5043706,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.5177041,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.5310377,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.5443711,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.5577046,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.5710385,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.5843713,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.5980135,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.6120691,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.6254598,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.638885,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.6522191,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.6655518,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.6790828,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.6924164,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.7059702,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.7194721,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.7328056,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.7464678,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.7598003,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.7731344,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.7864681,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.7998011,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.8131865,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.8265193,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.8400654,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.8535767,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.8673952,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.8807148,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.8943319,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.9079828,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.9213172,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.9346493,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.9479833,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.9613172,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.9746513,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
0.9879851,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
1.001336,Assets/Flightplans/flightplan20UAVs_plan2_v3.csv,0,0,0,0,0
