Time,Click No
4.902912,1
10.96663,2
17.84951,3
26.61417,4
30.15657,5
51.67369,6
60.32748,7
67.90952,8
74.80061,9
79.35616,10
88.87809,11
100.9611,12
105.9385,13
111.1541,14
118.1029,15
131.6719,16
140.2782,17
158.787,18
165.2838,19
183.2801,20

