Time,CSV Path,Total Planned Collisions,Total Planned Collisions Saved,Total Planned Collisions Collided,Total Collisions,User Click Count
0,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.02,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.3533334,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.3730887,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.3864685,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.3997895,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.4136669,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.4269972,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.4405376,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.4538705,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.4672045,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.4805382,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.4938713,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.5072057,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.5205384,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.5338724,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.5475194,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.5608534,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.5748451,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.5881786,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.6015124,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.6151692,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.628503,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.6418363,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.6556374,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.6689714,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.6823049,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.6956384,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.7096916,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.7238241,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.7377691,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.7511029,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.7644367,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.7777709,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.7913406,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.8046746,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.8180259,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.8313416,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.8446769,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.8580586,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.8718382,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.8851696,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.8985034,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.9118369,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.9251698,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.938503,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.9524511,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.9657921,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.9791396,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
0.9924729,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
1.006448,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
1.019795,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
1.033127,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
1.046462,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
1.059795,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
1.073128,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
1.086955,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
1.10064,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
1.11449,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
1.128375,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
1.141708,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
1.155041,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
1.168375,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
1.181718,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
1.195412,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
1.208744,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
1.222405,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
1.235739,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
1.249072,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
1.262405,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
1.276163,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
1.289497,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
1.303369,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
1.316701,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
1.330424,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
1.344358,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
1.357693,Assets/Flightplans/flightplan30UAVs_plan2_v3.csv,0,0,0,0,0
