Time,Click No
13.54728,1
27.02057,2
38.41557,3
45.36927,4
52.93665,5
76.01466,6
84.60694,7
91.87086,8
95.94023,9
102.7783,10
110.4612,11
117.1793,12
124.1537,13
130.6082,14
137.5007,15
141.376,16
160.9782,17
165.1751,18
168.8432,19
178.6878,20

