Time,Drone 1,Drone 2,Planned
7.52,14,15,1
7.52,15,14,1
11.08,1,10,1
11.08,10,1,1
13.34,9,1,1
13.34,1,9,1
27.86,6,13,1
27.86,13,6,1
31.74,13,6,1
31.74,6,13,1
44.12,7,17,1
44.12,17,7,1
55.82,11,1,1
55.82,1,11,1
64.7,6,17,1
64.7,17,6,1
71.98,4,8,1
71.98,8,4,1
80.42,4,13,1
80.42,13,4,1
98.18,19,18,1
98.18,18,19,1
104.62,18,3,1
104.62,3,18,1
111.38,6,5,1
111.38,5,6,1
127.2,0,12,1
127.2,12,0,1
133.68,3,0,1
133.68,0,3,1
143.84,17,11,1
143.84,11,17,1
154.08,3,16,1
154.08,16,3,1
164.68,11,7,1
164.68,7,11,1
175.22,18,8,0.6773714
175.22,8,18,0.6773714
175.38,18,8,0.6919593
175.38,8,18,0.6919593
175.54,18,8,0.7247331
175.54,8,18,0.7247331
175.7,18,8,0.7731461
175.7,8,18,0.7731461
175.86,18,8,0.8351724
175.86,8,18,0.8351724

