Time,Drone 1,Drone 2,Planned
24.3,2,4,1
24.3,4,2,1
27.18,6,7,1
27.18,7,6,1
72.72,9,7,1
72.72,7,9,1
75.52,0,1,1
75.52,1,0,1
84.14,4,0,1
84.14,0,4,1
86.06,5,9,1
86.06,9,5,1
105.76,4,0,1
105.76,0,4,1
110.14,0,9,1
110.14,9,0,1
117.9,3,1,1
117.9,1,3,1
124.82,8,5,1
124.82,5,8,1
127.6,6,4,1
127.6,4,6,1
130.16,9,0,1
130.16,0,9,1
144.94,4,9,1
144.94,9,4,1
165.52,6,2,1
165.52,2,6,1
166.72,9,0,1
166.72,0,9,1
168.3,5,1,1
168.3,1,5,1
169.08,3,7,1
169.08,7,3,1
178.18,3,6,1
178.18,6,3,1
180.9,9,0,0.9865545
180.9,0,9,0.9865545

