Time,Click No
11.35903,1
19.72592,2
22.08136,3
29.88481,4
37.15181,5
55.17334,6
74.21754,7
89.33053,8
108.705,9
112.7924,10
117.1041,11
120.9056,12
124.0613,13
127.5462,14
137.2386,15
149.0404,16
156.1741,17
160.3275,18
170.4812,19
173.842,20
179.8403,21

