Time,Click No
8.080962,1
24.56429,2
29.97879,3
78.51398,4
89.16736,5
91.5695,6
97.79064,7
105.7866,8
111.237,9
125.5809,10
131.161,11
135.5222,12
144.3299,13
154.2382,14
158.0357,15
166.7857,16
170.1712,17

