Time,Click No
19.7268,1
23.76658,2
27.27431,3
47.67542,4
51.94287,5
56.0969,6
63.40754,7
67.16472,8
69.12021,9
69.43102,10
75.61137,11
81.05586,12
87.43382,13
92.4092,14
98.65357,15
132.8165,16
148.2996,17
155.6547,18
160.6327,19
164.2549,20
173.5191,21
176.0292,22

