Time,Drone 1,Drone 2,Planned
11.48,3,6,0
11.48,6,3,0
11.7,3,6,0
11.7,6,3,0
11.9,3,6,0
11.9,6,3,0
12.1,3,6,0
12.1,6,3,0
31.08,15,27,0
31.08,27,15,0
31.28,15,27,0
31.28,27,15,0
31.4,15,27,0
31.4,27,15,0
31.52,15,27,0
31.52,27,15,0
113.72,4,23,1
113.72,23,4,1
129.5,10,17,1
129.5,17,10,1
149.14,10,8,0
149.14,8,10,0
149.2,10,8,0
149.2,8,10,0
172.28,28,9,0
172.28,9,28,0
172.38,28,9,0
172.38,9,28,0
172.38,14,16,0
172.38,16,14,0
172.5,28,9,0
172.5,9,28,0
172.5,14,16,0
172.5,16,14,0
173.9,28,9,0
173.9,9,28,0
173.96,28,9,0
173.96,9,28,0
174.04,28,9,0
174.04,9,28,0
174.12,28,9,0
174.12,9,28,0
174.28,28,9,0
174.28,9,28,0
174.36,28,9,0
174.36,9,28,0
174.42,28,9,0
174.42,9,28,0
174.5,28,9,0
174.5,9,28,0
174.68,25,18,0
174.68,18,25,0
181.58,10,6,0
181.58,6,10,0
181.7,10,6,0
181.7,6,10,0

