Time,Drone 1,Drone 2,Planned
4.1,7,12,0.8498967
4.1,12,7,0.8498967
4.3,7,12,0.9519626
4.3,12,7,0.9519626
7.32,9,12,1
7.32,12,9,1
7.36,19,22,1
7.36,22,19,1
10.9,6,10,1
10.9,10,6,1
16.88,3,17,0.257443
16.88,17,3,0.257443
17.08,12,23,0.8686221
17.08,23,12,0.8686221
17.08,3,17,0.307818
17.08,17,3,0.307818
17.28,12,23,0.8325166
17.28,23,12,0.8325166
17.5,12,23,0.7961295
17.5,23,12,0.7961295
17.68,12,23,0.7695996
17.68,23,12,0.7695996
17.9,12,23,0.7413263
17.9,23,12,0.7413263
18.04,12,23,0.7264522
18.04,23,12,0.7264522
18.28,12,23,0.7049019
18.28,23,12,0.7049019
18.5,12,23,0.6917955
18.5,23,12,0.6917955
18.68,12,23,0.685823
18.68,23,12,0.685823
18.86,12,23,0.6841383
18.86,23,12,0.6841383
19.1,12,23,0.6887167
19.1,23,12,0.6887167
19.28,12,23,0.6970307
19.28,23,12,0.6970307
19.28,9,14,0.6220484
19.28,14,9,0.6220484
19.4,12,23,0.7048479
19.4,23,12,0.7048479
19.4,9,14,0.5007852
19.4,14,9,0.5007852
19.56,12,23,0.7184349
19.56,23,12,0.7184349
19.56,9,14,0.6513731
19.56,14,9,0.6513731
19.7,12,23,0.7326205
19.7,23,12,0.7326205
25.1,6,28,0.7365211
25.1,28,6,0.7365211
25.26,6,28,0.734174
25.26,28,6,0.734174
25.7,16,19,0.4236424
25.7,19,16,0.4236424
25.88,16,19,0.4130466
25.88,19,16,0.4130466
26.08,16,19,0.4530208
26.08,19,16,0.4530208
26.26,16,19,0.5255699
26.26,19,16,0.5255699
29.36,11,1,1
29.36,1,11,1
32.14,22,28,1
32.14,28,22,1
45.12,28,22,1
45.12,22,28,1
50.96,10,7,1
50.96,7,10,1
61.48,3,5,0.5120717
61.48,5,3,0.5120717
61.66,3,5,0.147514
61.66,5,3,0.147514
61.7,9,10,1
61.7,10,9,1
61.88,3,5,0.4794223
61.88,5,3,0.4794223
62.02,3,5,0.7958089
62.02,5,3,0.7958089
68.1,8,16,0.7779528
68.1,16,8,0.7779528
68.3,8,16,0.8033397
68.3,16,8,0.8033397
69.1,19,12,0.8822031
69.1,12,19,0.8822031
69.28,19,12,0.8365613
69.28,12,19,0.8365613
69.38,19,12,0.8198473
69.38,12,19,0.8198473
69.46,19,12,0.8105661
69.46,12,19,0.8105661
69.68,19,12,0.8085702
69.68,12,19,0.8085702
69.9,19,12,0.8395303
69.9,12,19,0.8395303
70.1,19,12,0.8936197
70.1,12,19,0.8936197
70.32,19,12,0.9757905
70.32,12,19,0.9757905
70.5,19,12,1.057597
70.5,12,19,1.057597
73.28,17,11,0.7853432
73.28,11,17,0.7853432
73.42,17,11,0.7523009
73.42,11,17,0.7523009
73.68,17,11,0.7622487
73.68,11,17,0.7622487
73.76,9,4,1
73.76,4,9,1
81.84,18,12,0.8378259
81.84,12,18,0.8378259
82.1,18,12,0.7996799
82.1,12,18,0.7996799
82.28,18,12,0.8316147
82.28,12,18,0.8316147
86.08,26,4,1
86.08,4,26,1
87.92,12,2,1.031332
87.92,2,12,1.031332
88.04,12,2,1.04476
88.04,2,12,1.04476
88.14,12,2,1.056288
88.14,2,12,1.056288
88.68,17,21,0.8943979
88.68,21,17,0.8943979
90.52,26,3,1
90.52,3,26,1
95.46,17,1,0.8558889
95.46,1,17,0.8558889
95.62,17,1,0.8038378
95.62,1,17,0.8038378
95.7,17,1,0.7801132
95.7,1,17,0.7801132
95.8,17,1,0.7562716
95.8,1,17,0.7562716
95.92,17,1,0.7335784
95.92,1,17,0.7335784
96.06,17,1,0.7173349
96.06,1,17,0.7173349
96.3,17,1,0.7156873
96.3,1,17,0.7156873
96.52,17,1,0.7434143
96.52,1,17,0.7434143
