Time,Click No
3.661128,1
21.99776,2
24.92299,3
35.67218,4
46.69292,5
50.67194,6
52.96834,7
58.11277,8
98.12872,9
101.3307,10
107.2158,11
115.5463,12
148.777,13
152.445,14
162.9621,15
171.5474,16

