Time,CSV Path,Total Collisions,Total Saved,Total Collision Planned,Total Collision Unplanned,User Click Count
0,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.02,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.3533334,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.3895026,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.4085376,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.4258286,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.4430304,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.4600159,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.4776141,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.4942977,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.5116088,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.5284323,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.5460528,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.5636734,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.581174,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.5979459,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.614611,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.6316956,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.6483595,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.6654197,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.6830238,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.7003158,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.7173729,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.734441,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.751854,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.7685233,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.7861338,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.8035227,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.8211655,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.8381895,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.8558094,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.8726965,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.8895971,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.9062612,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.9229534,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.9402609,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.9578507,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.9754681,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
0.992948,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.010498,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.02743,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.044707,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.061357,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.078977,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.09564,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.112556,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.130128,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.1475,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.164689,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.181851,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.199111,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.216222,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.233823,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.251335,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.268713,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.286373,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.303827,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.320827,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.338436,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.356032,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.372695,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.389666,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.406334,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.423624,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.44029,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.457894,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.475381,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.492147,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.509088,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.529094,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.545763,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.562805,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.580101,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.597324,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.614542,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.631981,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.649589,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.666407,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.68405,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.701655,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.718925,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.736403,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.753389,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.770368,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.787815,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.80544,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.82244,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.840264,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.857896,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.875121,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.891786,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.908666,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.925746,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.943066,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.960245,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.977537,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
1.995943,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.013163,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.030377,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.047382,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.06498,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.081918,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.099254,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.116686,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.133595,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.152035,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.169633,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.186934,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.204296,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.221175,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.238168,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.255557,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.272223,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.289495,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.306362,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.323657,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.341255,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.358855,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.375537,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.392756,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.409508,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.426829,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.444223,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.460938,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.477949,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.494848,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.511956,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.529432,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.546603,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.563987,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.581161,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.598761,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.615956,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.633019,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.650627,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.667522,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.684223,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.701822,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.718588,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.735858,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.752692,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.769368,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.786338,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
2.80315,Assets/Flightplans/flightplan10UAVs_plan2_v3.csv,0,0,0,0,0
