Time,Drone 1,Drone 2,Planned
9.96,9,1,1
9.96,1,9,1
27.6,1,4,1
27.6,4,1,1
31.62,7,1,1
31.62,1,7,1
51.38,5,3,1
51.38,3,5,1
60.54,3,0,1
60.54,0,3,1
63.64,5,4,1
63.64,4,5,1
68.28,6,8,1
68.28,8,6,1
79.14,7,8,1
79.14,8,7,1
84.08,8,6,1
84.08,6,8,1
91.8,3,4,1
91.8,4,3,1
96,3,1,1
96,1,3,1
106.96,7,6,1
106.96,6,7,1
122.56,7,9,1
122.56,9,7,1
133.02,4,6,1
133.02,6,4,1
140.64,3,2,1
140.64,2,3,1
145.12,3,9,1
145.12,9,3,1
157.22,4,6,1
157.22,6,4,1
165.52,3,9,1
165.52,9,3,1
183.32,1,7,0.925441
183.32,7,1,0.925441

